City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income,log_price
Toronto,8478000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.928293412232202
Toronto,585000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.767155866082181
Toronto,2550000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.4065401804339555
Toronto,1495000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,6.174641192660449
Toronto,1300000.0,2,3,ON,5647656,43.7417,-79.3733,97000.0,6.113943352306837
Toronto,2095000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.321184027302314
Toronto,595500.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.7748817658187965
Toronto,819800.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.913707913980483
Toronto,755000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.8779469516291885
Toronto,918000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.962842681201242
Toronto,749000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.874481817699467
Toronto,2488888.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.396005353789638
Toronto,1199000.0,5,2,ON,5647656,43.7417,-79.3733,97000.0,6.078819183098848
Toronto,448800.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.652052848248105
Toronto,788000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,5.896526217489555
Toronto,697000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.84323277809801
Toronto,709000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.850646235183066
Toronto,899900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.954194251815863
Toronto,1850000.0,5,5,ON,5647656,43.7417,-79.3733,97000.0,6.267171728403014
Toronto,1549000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.190051417759206
Toronto,569000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.755112266395071
Toronto,1039000.0,3,1,ON,5647656,43.7417,-79.3733,97000.0,6.016615547557177
Toronto,1799000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.255031163345551
Toronto,899000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.953759691733229
Toronto,599000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.7774268223893115
Toronto,738000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.868056361823042
Toronto,619990.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.792384684692055
Toronto,1150000.0,3,1,ON,5647656,43.7417,-79.3733,97000.0,6.060697840353612
Toronto,3495000.0,5,6,ON,5647656,43.7417,-79.3733,97000.0,6.5434471800817
Toronto,2588168.0,4,5,ON,5647656,43.7417,-79.3733,97000.0,6.41299246330459
Toronto,1699000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0,6.230193378869045
Toronto,1699000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0,6.230193378869045
Toronto,1250000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.096910013008056
Toronto,799999.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.903089444123502
Toronto,2449000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.388988785124714
Toronto,699000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.8444771757456815
Toronto,1139900.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.056866753658313
Toronto,1199000.0,6,4,ON,5647656,43.7417,-79.3733,97000.0,6.078819183098848
Toronto,719000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.8567288903828825
Toronto,515000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.711807229041191
Toronto,1499000.0,3,4,ON,5647656,43.7417,-79.3733,97000.0,6.175801632848279
Toronto,1599000.0,5,4,ON,5647656,43.7417,-79.3733,97000.0,6.203848463746235
Toronto,729000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.862727528317975
Toronto,1390000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.143014800254095
Toronto,558900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.747334109615905
Toronto,499000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.69810054562339
Toronto,1799000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,6.255031163345551
Toronto,579900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.763353108748215
Toronto,1089000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.037027879755775
Toronto,899000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.953759691733229
Toronto,865000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,5.937016107464814
Toronto,899900.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,5.954194251815863
Toronto,599900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.778078861937455
Toronto,2495000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,6.397070549959409
Toronto,799900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.903035696788497
Toronto,799000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.902546779313991
Toronto,549000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.739572344450092
Toronto,1549000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.190051417759206
Toronto,1190000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,6.075546961392531
Toronto,749900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.875003353600041
Toronto,625000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.795880017344075
Toronto,2799000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.447002898466162
Toronto,809000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.907948521612273
Toronto,779000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.891537457672564
Toronto,2750000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.439332693830263
Toronto,799000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.902546779313991
Toronto,679000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.831869774280502
Toronto,5899000.0,5,5,ON,5647656,43.7417,-79.3733,97000.0,6.770778396169147
Toronto,1200000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.079181246047625
Toronto,3999000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.601951404133522
Toronto,849900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.9293678292401
Toronto,649000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.812244696800369
Toronto,3500000.0,6,4,ON,5647656,43.7417,-79.3733,97000.0,6.544068044350276
Toronto,749000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.874481817699467
Toronto,2665000.0,6,5,ON,5647656,43.7417,-79.3733,97000.0,6.425697213362591
Toronto,915000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.9614210940664485
Toronto,729888.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.863256223526322
Toronto,819900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.913760886412323
Toronto,739000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.868644438394826
Toronto,3288000.0,6,5,ON,5647656,43.7417,-79.3733,97000.0,6.516931808868013
Toronto,850000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.929418925714293
Toronto,2028900.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.307260642145005
Toronto,899888.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,5.954188460540687
Toronto,1250000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0,6.096910013008056
Toronto,499000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.69810054562339
Toronto,836000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.922206277439017
Toronto,1499000.0,6,2,ON,5647656,43.7417,-79.3733,97000.0,6.175801632848279
Toronto,799888.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.903029181507994
Toronto,850900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.929878523656783
Toronto,740900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.86975959478241
Toronto,685000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.835690571492425
Toronto,1029000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0,6.012415374762433
Toronto,1250000.0,6,2,ON,5647656,43.7417,-79.3733,97000.0,6.096910013008056
Toronto,509990.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.707561660436372
Toronto,928000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.967547976218862
Toronto,799900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.903035696788497
Toronto,2080000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,6.318063334962762
Toronto,1050000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.021189299069938
Toronto,915900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.961848059018324
Toronto,1650000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.217483944213907
Toronto,499800.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.698796251790431
Toronto,1199900.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.0791450533327485
Toronto,849000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.928907690243952
Toronto,718000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.8561244442423
Toronto,818000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.912753303671323
Toronto,685000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.835690571492425
Toronto,1039000.0,2,3,ON,5647656,43.7417,-79.3733,97000.0,6.016615547557177
Toronto,738000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.868056361823042
Toronto,799000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.902546779313991
Toronto,929000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,5.968015713993641
Toronto,1090000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,6.037426497940624
Toronto,979000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,5.990782691803138
