,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
111,Toronto,709000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
112,Toronto,889000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
113,Toronto,499000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
114,Toronto,619900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
115,Toronto,1349888.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
116,Toronto,799990.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
117,Toronto,979000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
118,Toronto,4499000.0,6,4,ON,5647656,43.7417,-79.3733,97000.0
119,Toronto,635000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
120,Toronto,949888.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
121,Toronto,765000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
122,Toronto,1499999.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
123,Toronto,1849000.0,0,0,ON,5647656,43.7417,-79.3733,97000.0
124,Toronto,560000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
125,Toronto,770000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
126,Toronto,1499999.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
127,Toronto,849900.0,2,3,ON,5647656,43.7417,-79.3733,97000.0
128,Toronto,1649000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
129,Toronto,1688000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0
130,Toronto,1450000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
131,Toronto,1200000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
132,Toronto,949000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
133,Toronto,1099000.0,8,5,ON,5647656,43.7417,-79.3733,97000.0
134,Toronto,1980000.0,0,0,ON,5647656,43.7417,-79.3733,97000.0
135,Toronto,1495000.0,2,4,ON,5647656,43.7417,-79.3733,97000.0
136,Toronto,698888.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
137,Toronto,5678000.0,2,3,ON,5647656,43.7417,-79.3733,97000.0
138,Toronto,438000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
139,Toronto,559000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
140,Toronto,2099800.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
141,Toronto,770000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
142,Toronto,2695000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
143,Toronto,2295000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
144,Toronto,870000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
145,Toronto,966000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
146,Toronto,1399999.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
147,Toronto,699000.0,0,1,ON,5647656,43.7417,-79.3733,97000.0
148,Toronto,1499000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
149,Toronto,549900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
150,Toronto,499000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
151,Toronto,1099900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
152,Toronto,499999.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
153,Toronto,650000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
154,Toronto,1099000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
155,Toronto,819000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
156,Toronto,899000.0,3,1,ON,5647656,43.7417,-79.3733,97000.0
157,Toronto,1499900.0,5,3,ON,5647656,43.7417,-79.3733,97000.0
158,Toronto,849000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
159,Toronto,580000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
160,Toronto,825000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
161,Toronto,1299800.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
162,Toronto,615000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
